personName,countryOfCitizenship,selfMade,industries
Zong Qinghou,China,True,Food & Beverage
Judy Faulkner,United States,True,Technology
Johann Graf,Austria,True,Gambling & Casinos
Tamara Gustavson,United States,False,Service
Liang Wengen,China,True,Manufacturing
Frederik Paulsen,Sweden,False,Healthcare
Wee Cho Yaw,Singapore,False,Finance & Investments
Zhang Hejun,China,True,Manufacturing
Marc Benioff,United States,True,Technology
Dmitri Bukhman,Israel,True,Media & Entertainment
Igor Bukhman,Israel,True,Media & Entertainment
Jack Dangermond,United States,True,Technology
Ashwin Dani & family,India,False,Manufacturing
Ralph Lauren,United States,True,Fashion & Retail
Law Kar Po,Hong Kong,False,Real Estate
Rohiqa Cyrus Mistry,India,False,Diversified
Shapoor Mistry,Ireland,False,Diversified
J. Christopher Reyes,United States,True,Food & Beverage
Jude Reyes,United States,True,Food & Beverage
Don Vultaggio & family,United States,True,Food & Beverage
Alejandro Bailleres Gual & family,Mexico,False,Diversified
Edythe Broad & family,United States,False,Diversified
Pauline MacMillan Keinath,United States,False,Food & Beverage
Philippe Laffont,United States,True,Finance & Investments
Liu Jincheng & family,China,True,Technology
Igor Olenicoff,United States,True,Real Estate
Sandra Ortega Mera,Spain,False,Fashion & Retail
Ronda Stryker,United States,False,Healthcare
Dannine Avara,United States,False,Energy
Silvio Berlusconi & family,Italy,True,Diversified
Denise Coates,United Kingdom,True,Gambling & Casinos
Scott Duncan,United States,False,Energy
Milane Frantz,United States,False,Energy
"Edward Johnson, IV.",United States,False,Finance & Investments
Yuri Milner,Israel,True,Finance & Investments
Gordon Moore,United States,True,Technology
John Overdeck,United States,True,Finance & Investments
David Siegel,United States,True,Finance & Investments
Viktor Vekselberg,Russia,True,Diversified
Wang Laisheng,Hong Kong,True,Technology
Randa Duncan Williams,United States,False,Energy
Ken Fisher,United States,True,Finance & Investments
Christopher Hohn,United Kingdom,True,Finance & Investments
Kjeld Kirk Kristiansen,Denmark,False,Manufacturing
Sofie Kirk Kristiansen,Denmark,False,Manufacturing
Thomas Kirk Kristiansen,Denmark,False,Manufacturing
Massimiliana Landini Aleotti & family,Italy,False,Healthcare
Li Ping,Hong Kong,True,Automotive
Lin Jianhua,China,True,Manufacturing
Magdalena Martullo-Blocher,Switzerland,False,Manufacturing
Xavier Niel,France,True,Telecom
Terrence Pegula,United States,True,Energy
"Edward Roski, Jr.",United States,False,Real Estate
John A. Sobrato & family,United States,True,Real Estate
George Soros,United States,True,Finance & Investments
David Sun,United States,True,Technology
Agnete Kirk Thinggaard,Denmark,False,Manufacturing
John Tu,United States,True,Technology
Xu Shihui,China,True,Food & Beverage
Rahel Blocher,Switzerland,False,Manufacturing
Bubba Cathy,United States,False,Food & Beverage
Dan Cathy,United States,False,Food & Beverage
Trudy Cathy White,United States,False,Food & Beverage
Bruce Kovner,United States,True,Finance & Investments
"Henry Nicholas, III.",United States,True,Technology
Nadia Thiele,Germany,False,Finance & Investments
David Bonderman,United States,True,Finance & Investments
Melinda French Gates,United States,False,Technology
Nathan Kirsh,Eswatini (Swaziland),True,Fashion & Retail
Annette Lerner & family,United States,False,Real Estate
David Reuben,United Kingdom,True,Real Estate
Simon Reuben,United Kingdom,True,Diversified
Radovan Vitek,Czech Republic,True,Real Estate
Carl Bennet,Sweden,True,Finance & Investments
Stephen Bisciotti,United States,True,Sports
Stanley Druckenmiller,United States,True,Finance & Investments
Jian Jun,China,True,Healthcare
Alexei Kuzmichev,Russia,True,Energy
Dmitry Rybolovlev & family,Russia,True,Manufacturing
Luis Carlos Sarmiento,Colombia,True,Finance & Investments
Dennis Washington,United States,True,Logistics
Anthony Bamford & family,United Kingdom,False,Construction & Engineering
Gao Jifan & family,China,True,Energy
John Grayken,Ireland,True,Finance & Investments
Alain Merieux & family,France,False,Healthcare
Wang Yusuo & family,China,True,Energy
Stef Wertheimer & family,Israel,True,Manufacturing
Maria Asuncion Aramburuzabala & family,Mexico,False,Food & Beverage
Gustaf Douglas,Sweden,True,Diversified
Frits Goldschmeding,Netherlands,True,Service
Lin Muqin & family,China,True,Food & Beverage
Ruan Liping,Hong Kong,True,Manufacturing
Ruan Xueping,Hong Kong,True,Manufacturing
Michal Solowow,Poland,True,Finance & Investments
Mike Adenuga,Nigeria,True,Diversified
Tom Gores,United States,True,Finance & Investments
Michael Herz,Germany,False,Fashion & Retail
Wolfgang Herz,Germany,False,Fashion & Retail
Michael Kadoorie,Hong Kong,False,Energy
Sunil Mittal,India,True,Telecom
Zhou Qunfei,Hong Kong,True,Technology
Alexander Abramov,Russia,True,Metals & Mining
Rene Benko,Austria,True,Real Estate
Neil Bluhm,United States,True,Real Estate
Alain Bouchard,Canada,True,Fashion & Retail
Jay Chaudhry,United States,True,Technology
Gopikishan Damani,India,True,Fashion & Retail
Sumet Jiaravanon,Thailand,False,Diversified
Joe Lewis,United Kingdom,True,Finance & Investments
Frank Lowy,Australia,True,Finance & Investments
Michael Milken,United States,True,Finance & Investments
David Steward,United States,True,Technology
Les Wexner & family,United States,True,Fashion & Retail
Cai Kui,China,True,Real Estate
Jaran Chiaravanont,Thailand,False,Diversified
Andreas Halvorsen,Norway,True,Finance & Investments
Antony Ressler,United States,True,Finance & Investments
Tsai Eng-meng,Taiwan,False,Food & Beverage
Josh Harris,United States,True,Finance & Investments
Niels Peter Louis-Hansen,Denmark,False,Healthcare
Patrick Soon-Shiong,United States,True,Healthcare
Rinat Akhmetov,Ukraine,True,Metals & Mining
John Brown,United States,True,Healthcare
Clive Calder,United Kingdom,True,Media & Entertainment
Arthur Irving,Canada,False,Energy
Fredrik Lundberg,Sweden,False,Real Estate
Thomas Schmidheiny,Switzerland,False,Construction & Engineering
Helmut Sohmen,Austria,False,Logistics
Daniel Ziff,United States,False,Finance & Investments
Dirk Ziff,United States,False,Finance & Investments
Robert Ziff,United States,False,Finance & Investments
Maria Angelicoussis,Greece,False,Logistics
Ray Lee Hunt,United States,False,Energy
Lai Meisong,China,True,Logistics
Vikram Lal & family,India,False,Automotive
Ken Langone,United States,True,Finance & Investments
Li Ge,United States,True,Healthcare
Karen Pritzker,United States,False,Finance & Investments
Robert Rowling,United States,False,Service
Teddy Sagi,Israel,True,Gambling & Casinos
Seo Jung-jin,South Korea,True,Healthcare
Wu Jianshu,Hong Kong,True,Automotive
Micky Arison,United States,False,Service
James Chambers,United States,False,Media & Entertainment
Pierre Chen,Taiwan,True,Technology
John Collison,Ireland,True,Technology
Patrick Collison,Ireland,True,Technology
Archie Aldis Emmerson & family,United States,True,Manufacturing
Piero Ferrari,Italy,False,Automotive
Dan Friedkin,United States,False,Automotive
James Irving,Canada,False,Diversified
Jiang Weiping & family,China,True,Manufacturing
Wolfgang Marguerre & family,Germany,True,Healthcare
Ludwig Merckle,Germany,False,Finance & Investments
Mitchell Rales,United States,True,Manufacturing
Katharine Rayner,United States,False,Media & Entertainment
Jean Salata,Chile,True,Finance & Investments
Paul Singer,United States,True,Finance & Investments
Sergio Stevanato & family,Italy,True,Healthcare
Margaretta Taylor,United States,False,Media & Entertainment
Richard White,Australia,True,Technology
Zhao Yan,China,True,Diversified
Patrizio Bertelli,Italy,True,Fashion & Retail
Mahendra Choksi & family,India,False,Manufacturing
Mat Ishbia,United States,False,Finance & Investments
Leo Koguan,United States,True,Technology
Miao Hangen,China,True,Diversified
Michael Pieper,Switzerland,True,Manufacturing
Miuccia Prada,Italy,False,Fashion & Retail
Wolfgang Reimann,Germany,False,Fashion & Retail
Matthias Reimann-Andersen,Germany,False,Fashion & Retail
Stefan Reimann-Andersen,Germany,False,Fashion & Retail
Renate Reimann-Haas,Germany,False,Fashion & Retail
Todd Boehly,United States,True,Finance & Investments
Rick Caruso,United States,True,Real Estate
Ibrahim Erdemoglu,Turkey,True,Manufacturing
Elizabeth Johnson,United States,False,Finance & Investments
Douglas Leone,United States,True,Finance & Investments
Prajogo Pangestu,Indonesia,False,Diversified
Thomas Pritzker,United States,False,Finance & Investments
Lynda Resnick,United States,True,Food & Beverage
Stewart Resnick,United States,True,Food & Beverage
Gary Rollins,United States,False,Service
Mark Walter,United States,True,Finance & Investments
Ronald Wanek,United States,True,Manufacturing
Erich Wesjohann & family,Germany,True,Food & Beverage
M.A. Yusuff Ali,India,True,Fashion & Retail
Alexandre Behring,Brazil,True,Finance & Investments
Cheng Xue,China,True,Food & Beverage
Robert Faith,United States,True,Real Estate
Gao Dekang & family,China,True,Fashion & Retail
Micky Jagtiani,India,False,Fashion & Retail
Ananda Krishnan,Malaysia,True,Telecom
Barry Lam,Taiwan,True,Technology
"Robert Rich, Jr.",United States,False,Food & Beverage
Mark Scheinberg,Canada,True,Gambling & Casinos
Charles Simonyi,United States,True,Technology
Ty Warner,United States,True,Real Estate
Sam Zell,United States,True,Real Estate
Fang Wei,China,True,Manufacturing
Rekha Jhunjhunwala,India,False,Finance & Investments
Charles B. Johnson,United States,False,Finance & Investments
Kwon Hyuk-bin,South Korea,True,Media & Entertainment
Sami Mnaymneh,United States,True,Finance & Investments
Kjell Inge Rokke,Norway,True,Logistics
Tony Tamer,United States,True,Finance & Investments
Tse Ping & family,China,True,Healthcare
Romesh T. Wadhwani,United States,True,Technology
Hansjoerg Wyss,Switzerland,True,Healthcare
Denise York & family,United States,False,Sports
Ron Baron,United States,True,Finance & Investments
Robert Bass,United States,False,Energy
Dona Bertarelli,Switzerland,False,Healthcare
Alexander Gerko,United Kingdom,True,Finance & Investments
Martin Haefner,Switzerland,False,Technology
"Robert Hale, Jr.",United States,True,Telecom
Viktor Kharitonin,Russia,True,Healthcare
Kim Beom-su,South Korea,True,Technology
Jane Lauder,United States,False,Fashion & Retail
Michel Leclercq & family,France,False,Fashion & Retail
George Lucas,United States,True,Media & Entertainment
Janice McNair,United States,False,Sports
Ugur Sahin,Germany,True,Healthcare
Alexandra Schoerghuber & family,Germany,False,Real Estate
Thomas Straumann,Switzerland,False,Healthcare
Murat Ulker,Turkey,False,Food & Beverage
Chip Wilson,Canada,True,Fashion & Retail
Zhu Yan & family,China,False,Real Estate
Jim Davis & family,United States,True,Manufacturing
Murali Divi & family,India,True,Healthcare
Dagmar Dolby & family,United States,False,Technology
Marcos Galperin,Argentina,True,Technology
Tom Golisano,United States,True,Service
Jonathan Gray,United States,True,Finance & Investments
Bidzina Ivanishvili,Georgia,True,Finance & Investments
Lim Hariyanto Wijaya Sarwono,Indonesia,True,Metals & Mining
Rudolf Maag,Switzerland,True,Healthcare
Emanuele (Lino) Saputo & family,Canada,False,Food & Beverage
Mark Shoen,United States,False,Automotive
Dan Snyder,United States,True,Sports
Chairul Tanjung,Indonesia,True,Diversified
Kelcy Warren,United States,True,Energy
Zhang Tao,China,True,Fashion & Retail
Michael Ashley,United Kingdom,True,Fashion & Retail
Tomasz Biernacki,Poland,True,Fashion & Retail
Bernard Broermann,Germany,True,Healthcare
Jimmy Haslam,United States,False,Fashion & Retail
H. Fisk Johnson,United States,False,Manufacturing
S. Curtis Johnson,United States,False,Manufacturing
Helen Johnson-Leipold,United States,False,Manufacturing
Vinod Khosla,United States,True,Technology
Thai Lee,United States,True,Technology
Winifred J. Marquart,United States,False,Manufacturing
Pankaj Patel,India,False,Healthcare
Horst Julius Pudwill,Germany,True,Manufacturing
Yu Yong,China,True,Finance & Investments
Maria Fernanda Amorim & family,Portugal,False,Diversified
Gayle Benson,United States,False,Sports
Jason Chang,Singapore,True,Technology
Ali Erdemoglu,Turkey,True,Manufacturing
Andre Esteves,Brazil,True,Finance & Investments
Carlo Fidani,Canada,False,Real Estate
Hong Ra-hee,South Korea,False,Technology
Li Gaiteng,China,True,Manufacturing
Thomas Secunda,United States,True,Media & Entertainment
Zuowen Song,China,True,Diversified
Tim Sweeney,United States,True,Media & Entertainment
Bert Beveridge,United States,True,Food & Beverage
Mark Cuban,United States,True,Media & Entertainment
Charles Dolan & family,United States,True,Media & Entertainment
Jack Dorsey,United States,True,Technology
Fan Hongwei,China,True,Energy
